GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
salento-parksync,com.parksync.transit,TransitService,0,72,0,0,0,18,0,5,0,5
salento-parksync,com.parksync.transit,TransitController,0,18,0,0,0,6,0,3,0,3
salento-parksync,com.parksync.transit,TransitOverrideRequest,0,12,0,0,0,1,0,1,0,1
salento-parksync,com.parksync.transit,ParkingStats,0,21,0,0,0,1,0,1,0,1
salento-parksync,com.parksync.query,ParkingStatusResponse,0,12,0,0,0,1,0,1,0,1
salento-parksync,com.parksync.query,QueryService,0,36,0,0,0,11,0,4,0,4
salento-parksync,com.parksync.query,ParkingStateCache,72,0,4,0,17,0,7,0,5,0
salento-parksync,com.parksync.query,QueryController,17,0,0,0,5,0,3,0,3,0
salento-parksync,com.parksync,ParkSyncApplication,8,0,0,0,3,0,2,0,2,0
salento-parksync,com.parksync.command,CommandController,0,32,0,0,0,9,0,2,0,2
salento-parksync,com.parksync.command,ParkingEvent,24,28,0,0,8,10,8,1,8,1
salento-parksync,com.parksync.command,ParkingEventRequest,0,21,0,0,0,1,0,1,0,1
salento-parksync,com.parksync.command,ServiceOverloadedException,0,11,0,0,0,4,0,2,0,2
salento-parksync,com.parksync.command,CommandService,0,91,0,4,0,22,0,6,0,4
salento-parksync,com.parksync.shared,EventType,0,44,0,0,0,5,0,1,0,1
salento-parksync,com.parksync.shared,ParkingStatus,0,44,0,0,0,2,0,1,0,1
salento-parksync,com.parksync.shared,VehicleCategory,0,34,0,0,0,2,0,1,0,1
salento-parksync,com.parksync.auth,LoginResponse,9,0,0,0,1,0,1,0,1,0
salento-parksync,com.parksync.auth,AuthController,21,0,0,0,6,0,2,0,2,0
salento-parksync,com.parksync.auth,JwtService,0,53,0,0,0,18,0,5,0,5
salento-parksync,com.parksync.auth,LoginRequest,9,0,0,0,1,0,1,0,1,0
salento-parksync,com.parksync.auth,SecurityConfig,45,0,0,0,9,0,5,0,5,0
salento-parksync,com.parksync.hysteresis,HysteresisEngine,69,69,2,18,13,18,4,13,3,3
salento-parksync,com.parksync.hysteresis,ParkingLot,86,39,10,0,15,14,14,5,9,5
salento-parksync,com.parksync.worker,StaleDataWorker,0,85,0,4,0,22,0,6,0,4
